Frame,Visibility,X,Y
698,-1,849,689
699,-1,855,672
700,-1,893,604
701,-1,928,547
702,-1,956,494
703,-1,988,455
704,-1,1018,410
705,-1,1041,374
706,-1,1063,348
707,-1,1080,325
708,-1,767,336
709,-1,293,325
710,-1,292,328
711,-1,292,328
712,-1,357,345
713,-1,367,348
714,-1,403,339
715,-1,466,348
716,-1,562,366
717,-1,648,352
718,-1,740,308
719,-1,843,302
720,-1,910,279
721,-1,915,268
722,-1,915,268
723,-1,915,268
724,-1,915,268
725,-1,915,268
726,-1,915,268
727,-1,915,268
728,-1,915,268
729,-1,915,268
730,-1,915,268
731,-1,915,268
732,-1,915,268
733,-1,915,268
734,-1,915,268
735,-1,915,268
736,-1,915,268
737,-1,915,268
738,-1,915,268
739,-1,915,268
740,-1,915,268
741,-1,915,268
742,-1,944,248
743,-1,1001,253
744,-1,1040,239
745,-1,1059,191
746,-1,1082,185
747,-1,1104,185
748,-1,1124,168
749,-1,1135,151
750,-1,1135,145
751,-1,1138,133
752,-1,1146,134
753,-1,1131,139
754,-1,1111,154
755,-1,1104,172
756,-1,1085,185
757,-1,1048,198
758,-1,1025,244
759,-1,978,245
760,-1,932,240
761,-1,915,268
762,-1,915,268
763,-1,915,268
764,-1,915,268
765,-1,915,268
766,-1,915,268
767,-1,915,268
768,-1,940,256
769,-1,990,261
770,-1,1028,250
771,-1,1057,271
772,-1,1060,282
773,-1,1079,270
774,-1,1084,252
775,-1,1088,234
776,-1,1095,215
777,-1,1104,199
778,-1,1110,186
779,-1,1112,174
780,-1,1119,165
781,-1,1123,157
782,-1,1125,148
783,-1,1129,141
784,-1,1134,136
785,-1,1138,133
786,-1,1140,129
787,-1,1144,129
788,-1,1146,131
789,-1,1132,136
790,-1,1119,152
791,-1,1106,168
792,-1,1091,174
793,-1,1047,194
794,-1,1034,245
795,-1,983,244
796,-1,934,239
797,-1,915,268
798,-1,915,268
799,-1,915,268
800,-1,915,268
801,-1,915,268
802,-1,915,268
803,-1,915,268
804,-1,915,268
805,-1,915,268
806,-1,915,268
807,-1,915,268
808,-1,915,268
809,-1,915,268
810,-1,915,268
811,-1,959,238
812,-1,1026,239
813,-1,1082,198
814,-1,1114,160
815,-1,1151,111
816,-1,1201,92
817,-1,1230,81
818,-1,1248,69
819,-1,1260,60
820,-1,1269,61
821,-1,1271,64
822,-1,1273,70
823,-1,1275,72
824,-1,1275,83
825,-1,1279,91
826,-1,1285,101
827,-1,1288,115
828,-1,1291,128
829,-1,1292,148
830,-1,1294,165
831,-1,1299,191
832,-1,1301,217
833,-1,1301,251
834,-1,1305,282
835,-1,1305,317
836,-1,1301,358
837,-1,1288,390
838,-1,1269,409
839,-1,1240,407
840,-1,1205,428
841,-1,1176,421
842,-1,1131,395
843,-1,1095,351
844,-1,1055,327
845,-1,967,282
846,-1,915,268
847,-1,915,268
848,-1,915,268
849,-1,915,268
850,-1,915,268
851,-1,915,268
852,-1,915,268
853,-1,915,268
854,-1,889,266
855,-1,822,260
856,-1,787,219
857,-1,774,204
858,-1,760,195
859,-1,753,188
860,-1,744,179
861,-1,748,167
862,-1,747,159
863,-1,745,150
864,-1,755,148
865,-1,760,155
866,-1,770,160
867,-1,784,159
868,-1,790,159
869,-1,809,155
870,-1,821,150
871,-1,836,143
872,-1,841,138
873,-1,845,130
874,-1,848,130
875,-1,857,133
876,-1,868,136
877,-1,878,140
878,-1,885,143
879,-1,893,148
880,-1,900,155
881,-1,910,162
882,-1,915,171
883,-1,924,183
884,-1,935,197
885,-1,941,216
886,-1,942,224
887,-1,935,222
888,-1,916,222
889,-1,903,247
890,-1,991,222
891,-1,1113,276
892,-1,1234,228
893,-1,1219,204
894,-1,1237,239
895,-1,1281,237
896,-1,1315,248
897,-1,1342,267
898,-1,1374,295
899,-1,1397,317
900,-1,1434,345
901,-1,1470,375
902,-1,1513,412
903,-1,1547,447
904,-1,1584,483
905,-1,1620,524
906,-1,1639,560
907,-1,1637,581
908,-1,1635,612
909,-1,1633,641
910,-1,1629,672
911,-1,1624,690
912,-1,1622,700
913,-1,1620,708
914,-1,1600,721
915,-1,1610,734
916,-1,1585,753
917,-1,1599,763
918,-1,1590,779
919,-1,1577,797
920,-1,1566,821
921,-1,1554,843
922,-1,1539,868
923,-1,1519,893
924,-1,1513,904
925,-1,1500,934
926,-1,1491,949
927,-1,1481,970
928,-1,1470,989
929,-1,1457,1011
930,-1,1444,1035
931,-1,1434,1022
932,-1,1419,1004
933,-1,1385,976
934,-1,1370,933
935,-1,1241,874
936,-1,1267,919
937,-1,1335,978
938,-1,1315,966
939,-1,1274,987
940,-1,1107,863
941,-1,1137,926
942,-1,1152,975
943,-1,1165,1009
944,-1,1159,1034
945,-1,1174,1049
946,-1,1155,1037
947,-1,1131,1026
948,-1,1110,1016
949,-1,1095,1006
950,-1,1080,998
951,-1,1069,992
952,-1,1058,987
953,-1,1046,984
954,-1,1037,981
955,-1,1018,978
956,-1,1021,972
957,-1,1025,956
958,-1,1001,935
959,-1,1012,894
960,-1,970,835
961,-1,986,767
962,-1,943,669
963,-1,955,575
964,-1,957,477
965,-1,915,268
966,-1,915,268
967,-1,915,268
968,-1,915,268
969,-1,915,268
970,-1,915,268
971,-1,915,268
972,-1,915,268
973,-1,915,268
974,-1,915,268
975,-1,915,268
976,-1,915,268
977,-1,915,268
978,-1,915,268
979,-1,832,291
980,-1,713,343
981,-1,640,376
982,-1,584,425
983,-1,470,419
984,-1,382,432
985,-1,307,457
986,-1,273,484
987,-1,251,489
988,-1,172,489
989,-1,178,493
990,-1,191,503
991,-1,200,518
992,-1,337,550
993,-1,360,553
994,-1,418,568
995,-1,483,531
996,-1,545,483
997,-1,666,420
998,-1,767,402
999,-1,845,371
1000,-1,886,316
1001,-1,915,268
1002,-1,915,268
1003,-1,915,268
1004,-1,834,289
1005,-1,726,334
1006,-1,659,362
1007,-1,613,417
1008,-1,523,407
1009,-1,482,426
1010,-1,409,430
1011,-1,355,450
1012,-1,312,464
1013,-1,196,463
1014,-1,310,503
1015,-1,341,495
1016,-1,364,505
1017,-1,435,475
1018,-1,504,448
1019,-1,642,393
1020,-1,739,380
1021,-1,843,353
1022,-1,889,305
1023,-1,915,268
1024,-1,915,268
1025,-1,915,268
1026,-1,915,268
1027,-1,915,268
1028,-1,915,268
1029,-1,915,268
1030,-1,915,268
1031,-1,915,268
1032,-1,915,268
1033,-1,915,268
1034,-1,915,268
1035,-1,915,268
1036,-1,915,268
1037,-1,915,268
1038,-1,915,268
1039,-1,952,412
1040,-1,1002,524
1041,-1,1003,574
1042,-1,1033,645
1043,-1,1039,671
1044,-1,1047,711
1045,-1,1055,762
1046,-1,1067,806
1047,-1,1082,840
1048,-1,1095,868
1049,-1,1101,891
1050,-1,1104,909
1051,-1,1106,938
1052,-1,1112,965
1053,-1,1118,969
1054,-1,1131,952
1055,-1,1107,920
1056,-1,1131,880
1057,-1,1082,820
1058,-1,1090,749
1059,-1,1033,661
1060,-1,1023,569
1061,-1,1006,466
1062,-1,915,268
1063,-1,915,268
1064,-1,915,268
1065,-1,863,283
1066,-1,799,305
1067,-1,718,335
1068,-1,655,372
1069,-1,547,370
1070,-1,482,362
1071,-1,423,358
1072,-1,376,323
1073,-1,360,290
1074,-1,259,259
1075,-1,343,268
1076,-1,307,258
1077,-1,318,251
1078,-1,326,240
1079,-1,337,232
1080,-1,345,225
1081,-1,353,215
1082,-1,363,210
1083,-1,372,203
1084,-1,379,198
1085,-1,410,212
1086,-1,428,208
1087,-1,467,214
1088,-1,519,226
1089,-1,611,242
1090,-1,691,250
1091,-1,768,260
1092,-1,870,278
1093,-1,914,268
1094,-1,915,268
1095,-1,915,268
1096,-1,915,268
1097,-1,915,268
1098,-1,915,268
1099,-1,915,268
1100,-1,915,268
1101,-1,915,268
1102,-1,915,268
1103,-1,915,268
1104,-1,915,268
1105,-1,915,268
1106,-1,915,268
1107,-1,915,268
1108,-1,915,268
1109,-1,915,268
1110,-1,915,268
1111,-1,1015,409
1112,-1,1066,511
1113,-1,1050,593
1114,-1,1117,693
1115,-1,1116,760
1116,-1,1160,807
1117,-1,1182,849
1118,-1,1198,879
1119,-1,1211,892
1120,-1,1221,895
1121,-1,1228,881
1122,-1,1234,865
1123,-1,1243,853
1124,-1,1247,841
1125,-1,1249,834
1126,-1,936,563
1127,-1,585,368
1128,-1,400,319
1129,-1,234,272
1130,-1,236,266
1131,-1,240,258
1132,-1,240,251
1133,-1,247,247
1134,-1,248,244
1135,-1,746,431
1136,-1,966,468
1137,-1,928,428
1138,-1,893,398
1139,-1,863,368
1140,-1,835,348
1141,-1,815,330
1142,-1,800,314
1143,-1,786,293
1144,-1,771,285
1145,-1,784,275
1146,-1,818,275
1147,-1,848,280
1148,-1,871,308
1149,-1,881,300
1150,-1,905,282
1151,-1,915,268
1152,-1,915,268
1153,-1,915,268
1154,-1,915,268
1155,-1,915,268
1156,-1,915,268
1157,-1,915,268
1158,-1,915,268
1159,-1,915,268
1160,-1,915,268
1161,-1,915,268
1162,-1,915,268
1163,-1,915,268
1164,-1,915,268
1165,-1,915,268
1166,-1,915,268
1167,-1,915,268
1168,-1,915,268
1169,-1,915,268
1170,-1,915,268
1171,-1,915,268
1172,-1,915,268
1173,-1,915,268
1174,-1,915,268
